,Time,0_X,0_Y,1_X,1_Y,2_X,2_Y,3_X,3_Y,4_X,4_Y,5_X,5_Y,6_X,6_Y,1_person_X,1_person_Y,10_person_X,10_person_Y,3_person_X,3_person_Y,4_person_X,4_person_Y,5_person_X,5_person_Y,6_person_X,6_person_Y,8_person_X,8_person_Y
0,0.0,-7823.16175,-775.92121,-815.66008,-3558.26697,-7817.97539,1082.96977,nan,nan,nan,nan,nan,nan,-202.61073,3239.85318,-7823.16175,-775.92121,-815.66008,-3558.26697,-7817.97539,1082.96977,nan,nan,nan,nan,nan,nan,-202.61073,3239.85318
1,0.01,-7823.16175,-775.92121,-815.66008,-3558.26697,-7817.97539,1082.96977,nan,nan,nan,nan,nan,nan,-202.61073,3239.85318,-7822.01185,-774.50337,-819.69044,-3559.15786,-7820.93727,1082.49515,nan,nan,nan,nan,nan,nan,-203.29029,3239.7567
2,0.02,-7826.283765722823,-779.8267212119218,-810.6610075094796,-3558.3632728271796,-7817.97539,1082.96977,nan,nan,nan,nan,nan,nan,-197.65190753334778,3240.493554690494,-7821.29657,-773.00723,-823.67853,-3560.13067,-7823.45046,1081.79575,nan,nan,nan,nan,nan,nan,-203.54878,3239.94043
3,0.03,-7829.178825853098,-783.9033162178173,-805.6916143206713,-3557.8108858839732,-7817.97539,1082.96977,nan,nan,nan,nan,nan,nan,-192.66732579241173,3240.8859127768474,-7819.53635,-771.63593,-827.71427,-3560.99349,-7826.29212,1081.19124,nan,nan,nan,nan,nan,nan,-204.29872,3239.89347
4,0.04,-7832.291410040366,-787.8163482490133,-800.7366375515709,-3557.141404579025,-7817.97539,1082.96977,nan,nan,nan,nan,nan,nan,-187.6796257978365,3241.2364106571754,-7818.68971,-770.22311,-831.78106,-3561.79554,-7829.97885,1080.63219,nan,nan,nan,nan,nan,nan,-204.75683,3240.11277
5,0.05,-7835.30255676076,-791.8079638903619,-795.7770970081891,-3556.506615166265,-7817.97539,1082.96977,nan,nan,nan,nan,nan,nan,-182.68440909717918,3241.4550658960197,-7816.93684,-768.71526,-835.83562,-3563.11779,-7831.63392,1079.93269,nan,nan,nan,nan,nan,nan,-205.11037,3240.30409
6,0.06,-7838.419382515505,-795.7176182503481,-790.8166669523467,-3555.878814512319,-7817.97539,1082.96977,nan,nan,nan,nan,nan,nan,-177.68673793777754,3241.607653518339,-7816.65313,-767.43535,-839.92402,-3564.03383,-7834.29245,1079.22834,nan,nan,nan,nan,nan,nan,-206.35511,3239.66387
7,0.07,-7841.3932674508005,-799.737071993287,-785.8764063052316,-3555.1082142666883,-7817.97539,1082.96977,nan,nan,nan,nan,nan,nan,-172.69753825417806,3241.936114348836,-7816.59551,-766.17448,-843.38653,-3565.55038,-7837.75013,1078.62202,nan,nan,nan,nan,nan,nan,-207.00797,3239.63826
8,0.08,-7844.272254374717,-803.8250341129643,-780.924121605597,-3554.4191016098866,-7817.97539,1082.96977,nan,nan,nan,nan,nan,nan,-167.7047742023431,3242.2050141865166,-7814.61736,-764.60116,-847.43293,-3566.58387,-7840.08071,1077.87963,nan,nan,nan,nan,nan,nan,-207.65574,3239.61474
9,0.09,-7847.289648763967,-807.8119290325377,-775.9730454934081,-3553.7213585831832,-7817.97539,1082.96977,nan,nan,nan,nan,nan,nan,-162.71116440859663,3242.4577219778475,-7813.83137,-763.47579,-849.71907,-3567.32615,-7843.60889,1077.11263,nan,nan,nan,nan,nan,nan,-208.32156,3239.59976
10,0.1,-7850.267434357802,-811.8284938530221,-771.0233566531074,-3553.0138415274155,-7817.97539,1082.96977,nan,nan,nan,nan,nan,nan,-157.71696796126218,3242.6985577007626,-7813.07288,-761.91607,-853.4767,-3568.34419,-7846.02237,1076.38299,nan,nan,nan,nan,nan,nan,-208.95335,3239.66822
