,Time,0_X,0_Y,1_X,1_Y,2_X,2_Y,3_X,3_Y,10_person_X,10_person_Y,3_person_X,3_person_Y,8_person_X,8_person_Y,9_person_X,9_person_Y
0,0.0,nan,nan,1066.78606,-3247.01014,nan,nan,nan,nan,nan,nan,1066.78606,-3247.01014,nan,nan,nan,nan
1,0.01,nan,nan,1066.78606,-3247.01014,nan,nan,nan,nan,nan,nan,1067.38856,-3245.44227,nan,nan,nan,nan
2,0.02,nan,nan,1064.9586436349582,-3251.6642295381134,nan,nan,nan,nan,nan,nan,1067.17843,-3243.13233,nan,nan,nan,nan
3,0.03,nan,nan,1063.730857846596,-3256.5111401064955,6212.84892,-2140.38796,nan,nan,nan,nan,1067.31796,-3241.09675,6212.84892,-2140.38796,nan,nan
4,0.04,nan,nan,1063.730857846596,-3256.5111401064955,6212.84892,-2140.38796,nan,nan,nan,nan,1067.4673,-3238.9767,6212.11178,-2139.44088,nan,nan
5,0.05,nan,nan,1062.7380782513746,-3261.411587910045,6215.886406582947,-2144.359568648699,nan,nan,nan,nan,1067.50922,-3236.91898,6211.29572,-2138.28083,nan,nan
6,0.06,nan,nan,1061.8083175539045,-3266.3243819262275,6218.85975626773,-2148.3794183538503,nan,nan,nan,nan,1067.94386,-3234.79638,6210.34919,-2136.96862,nan,nan
7,0.07,nan,nan,1060.8306930349368,-3271.227875609298,6221.804369057236,-2152.420365708107,nan,nan,nan,nan,1068.00175,-3232.43933,6209.30822,-2135.50583,nan,nan
8,0.08,nan,nan,1059.9313387338136,-3276.1463267721183,6224.729347646282,-2156.4755476095293,nan,nan,nan,nan,1067.95416,-3229.95328,6208.13106,-2133.90088,nan,nan
9,0.09,nan,nan,1059.0931995271644,-3281.0755785074507,6227.648448312743,-2160.5349627520177,nan,nan,nan,nan,1067.84489,-3227.44311,6206.82188,-2132.15307,nan,nan
10,0.1,nan,nan,1058.3054244996185,-3286.013129571083,6230.566238211587,-2164.59532013853,nan,nan,nan,nan,1067.8353,-3224.79751,6205.31079,-2130.27373,nan,nan
11,0.11,nan,nan,1057.543953043032,-3290.9548055237133,6233.4954764451295,-2168.6474261799794,nan,nan,nan,nan,1067.79705,-3222.11518,6203.78805,-2128.35557,nan,nan
12,0.12,nan,nan,1056.8131639443168,-3295.9011119530805,6236.427157045462,-2172.6977655309024,nan,nan,nan,nan,1067.65143,-3219.26039,6202.12351,-2126.27435,nan,nan
13,0.13,nan,nan,1056.1229827465418,-3300.8532478472416,6239.363070498667,-2176.745037722798,nan,nan,nan,nan,1067.53404,-3216.35121,6200.364,-2124.14686,nan,nan
14,0.14,nan,nan,1055.459983239722,-3305.809096074736,6242.307123569124,-2180.7863928814463,nan,nan,nan,nan,1067.29194,-3213.4049,6198.42068,-2121.84026,nan,nan
15,0.15,nan,nan,1054.8344782727902,-3310.7698161370195,6245.259945347913,-2184.8213456126077,nan,nan,nan,nan,1067.13061,-3210.30928,6196.44246,-2119.47235,nan,nan
16,0.16,nan,nan,1054.2314606838422,-3315.7333199183636,6248.217713343559,-2188.852673989698,nan,nan,nan,nan,1066.85593,-3206.98099,6194.22908,-2116.91863,nan,nan
17,0.17,nan,nan,1053.6627494026404,-3320.700871375433,6251.186245422529,-2192.876082656006,nan,nan,nan,nan,1066.62095,-3203.76567,6191.95384,-2114.25294,nan,nan
18,0.18,nan,nan,1053.1159562051557,-3325.6708831660817,6254.160178500368,-2196.895500779135,nan,nan,nan,nan,1066.20915,-3200.30112,6189.45209,-2111.42755,nan,nan
19,0.19,nan,nan,1052.605880472846,-3330.644797394062,6257.145121282072,-2200.9067495360623,nan,nan,nan,nan,1065.88753,-3196.73405,6186.99572,-2108.48071,nan,nan
20,0.2,nan,nan,1052.117153252435,-3335.6208546389125,6260.130146727722,-2204.9179367778675,nan,nan,nan,nan,1065.46506,-3193.09578,6184.15458,-2105.41454,nan,nan
21,0.21,nan,nan,1051.6573852211554,-3340.5996711004236,6263.132187942707,-2208.9164050525355,nan,nan,nan,nan,1065.09829,-3189.30637,6181.27061,-2102.2324,nan,nan
22,0.22,nan,nan,1051.2185035975965,-3345.5803721475154,6266.141401117308,-2212.909478564231,nan,nan,nan,nan,1064.64215,-3185.52728,6178.30982,-2098.99998,nan,nan
23,0.23,nan,nan,1050.8052992646396,-3350.5632691140627,6269.159252925804,-2216.8960272547597,nan,nan,nan,nan,1064.2666,-3181.44577,6175.12054,-2095.67254,nan,nan
24,0.24,nan,nan,1050.410272067616,-3355.5476400386237,6272.190214334275,-2220.8726178724073,nan,nan,nan,nan,1063.90605,-3177.45791,6172.02666,-2092.2956,nan,nan
25,0.25,nan,nan,1050.0323066535088,-3360.533333786312,6275.225385137023,-2224.8459965603934,nan,nan,nan,nan,1063.52785,-3173.2311,6168.69606,-2088.87531,nan,nan
26,0.26,nan,nan,1049.6725533944252,-3365.5203747519126,6278.273439713312,-2228.80950047738,nan,nan,nan,nan,1063.33652,-3168.92975,6165.38207,-2085.4797,nan,nan
27,0.27,nan,nan,1049.3199865431595,-3370.5079289235873,6281.330245809889,-2232.766258808126,nan,nan,nan,nan,1063.31054,-3164.52283,6161.96433,-2081.9707,nan,nan
