,Time,0_X,0_Y,1_X,1_Y,2_X,2_Y,3_X,3_Y,4_X,4_Y,5_X,5_Y,6_X,6_Y,7_X,7_Y,8_X,8_Y,1_person_X,1_person_Y,10_person_X,10_person_Y,2_person_X,2_person_Y,3_person_X,3_person_Y,4_person_X,4_person_Y,5_person_X,5_person_Y,6_person_X,6_person_Y,7_person_X,7_person_Y,8_person_X,8_person_Y
0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,-434.62229,3146.64957,-887.91126,-3627.83268,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-434.62229,3146.64957,-887.91126,-3627.83268,nan,nan,nan,nan,nan,nan
1,0.01,nan,nan,nan,nan,nan,nan,nan,nan,-434.62229,3146.64957,-887.91126,-3627.83268,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-439.75634,3152.09181,-887.56018,-3627.63845,nan,nan,nan,nan,nan,nan
2,0.02,nan,nan,nan,nan,nan,nan,nan,nan,-429.64546848021206,3146.1686879352737,-892.325256237643,-3630.1814322674973,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-444.36553,3157.84123,-886.55605,-3628.04867,nan,nan,nan,nan,nan,nan
3,0.03,nan,nan,nan,nan,nan,nan,nan,nan,-424.7789502503835,3145.0210815921637,-897.0516820102669,-3631.8126586208514,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-449.28707,3163.52862,-886.24486,-3627.90471,nan,nan,nan,nan,nan,nan
4,0.04,nan,nan,nan,nan,nan,nan,nan,nan,-419.9441022770886,3143.746622854061,-901.7858342272954,-3633.421323528781,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-453.67492,3169.35036,-886.25518,-3627.70157,nan,nan,nan,nan,nan,nan
5,0.05,nan,nan,nan,nan,nan,nan,nan,nan,-415.12421384802616,3142.416707243434,-906.5011862499183,-3635.084289344048,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-457.74756,3175.00246,-885.97295,-3627.59664,nan,nan,nan,nan,nan,nan
6,0.06,nan,nan,nan,nan,nan,nan,nan,nan,-410.2944243896951,3141.123210514333,-911.230208815972,-3636.7079720623633,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-461.54154,3179.93374,-885.83587,-3627.45291,nan,nan,nan,nan,nan,nan
7,0.07,nan,nan,nan,nan,nan,nan,nan,nan,-405.47311815223384,3139.798444057701,-915.9570835641558,-3638.337896942529,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-465.15585,3185.43992,-885.72746,-3627.41462,nan,nan,nan,nan,nan,nan
8,0.08,nan,nan,nan,nan,nan,nan,nan,nan,-400.6544865538261,3138.463981799401,-920.6915981121939,-3639.9454951493008,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-468.30063,3191.3588,-885.68852,-3627.38207,nan,nan,nan,nan,nan,nan
9,0.09,nan,nan,nan,nan,nan,nan,nan,nan,-395.84068686553326,3137.1121931469143,-925.4292062830872,-3641.543953412467,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-471.99846,3196.88146,-885.80409,-3627.37435,nan,nan,nan,nan,nan,nan
