,Type,Point_1,Point_2,Point_3,Point_4,Point_5,Point_6,Point_7,Point_8,Point_9,Point_10,Point_11,Point_12,Point_13,Point_14,Point_15,Point_16
0,People,"[676.07068, 3141.61787, 0.0, 0.0]","[661.54214, 3153.39022, -58.11416000000008, 47.08940000000075]","[525.0771, 3230.55328, -545.8601600000002, 308.65223999999944]","[344.39844, 3280.18474, -722.7146399999999, 198.52584000000024]","[163.65138, 3315.7, -722.98824, 142.06103999999868]","[55.64991, 3391.28424, -432.00587999999993, 302.33696000000054]","[30.64301, 3428.40698, -100.02759999999999, 148.490960000001]","[31.2178, 3457.16018, 2.2991600000000005, 115.0127999999986]","[38.80467, 3468.16806, 30.347480000000033, 44.0315200000005]","[35.07043, 3482.03648, -14.93696, 55.47368000000097]","[25.2091, 3477.51513, -39.44532000000001, -18.085399999999936]","[22.9512, 3462.91575, -9.031599999999997, -58.39752000000044]","[45.39597, 3377.17367, 89.77908, -342.96831999999995]","[151.21595, 3245.29809, 423.27991999999995, -527.5023200000014]","[382.65412, 3117.08063, 925.7526799999999, -512.8698399999994]","[674.96341, 3007.47904, 1169.23716, -438.40635999999904]"
1,People,"[826.48271, 2943.53408, 606.0772000000002, -255.77984000000106]","[909.42402, 2859.2299, 331.7652400000002, -337.21672000000035]","[982.10083, 2680.50459, 290.70723999999973, -714.9012399999992]","[1071.14788, 2407.23297, 356.18820000000005, -1093.08648]","[1186.11561, 2118.02985, 459.8709200000003, -1156.8124800000005]","[1328.7728, 1760.28598, 570.6287599999996, -1430.9754799999992]","[1359.41095, 1371.10246, 122.55259999999998, -1556.7340800000002]","[1347.93647, 981.9626, -45.89791999999943, -1556.5594400000004]","[1390.96791, 614.21275, 172.12576000000004, -1470.999400000001]","[1431.50295, 204.16586, 162.14015999999992, -1640.18756]","[1365.58994, -212.71808, -263.65203999999994, -1667.53576]","[1252.53161, -570.35863, -452.2333200000003, -1430.5621999999998]","[1159.31083, -938.3635, -372.8831200000004, -1472.0194800000004]","[1129.74284, -1290.23392, -118.27196000000004, -1407.4816799999994]","[1059.59745, -1637.60882, -280.5815599999996, -1389.4996]","[967.16972, -1901.69166, -369.71092, -1056.3313600000001]"
2,People,"[851.10133, -2168.26685, -464.2735600000001, -1066.30076]","[827.94498, -2439.82755, -92.6253999999999, -1086.2428]","[822.63137, -2742.96693, -21.25444000000016, -1212.5575200000003]","[792.75521, -2986.55655, -119.50463999999965, -974.358479999999]","[709.09176, -3148.57829, -334.65380000000005, -648.0869600000005]","[553.84488, -3265.90643, -620.9875200000001, -469.3125600000003]","[443.22713, -3357.03709, -442.471, -364.5226399999992]","[400.33642, -3414.18413, -171.56284000000005, -228.58816000000115]","[415.488, -3464.09785, 60.60632000000015, -199.65488000000022]","[436.76229, -3487.36658, 85.09716000000003, -93.07491999999911]","[453.02423, -3497.74825, 65.04775999999993, -41.52668000000085]","[469.52117, -3503.58459, 65.98775999999998, -23.345359999999346]","[492.10286, -3519.26481, 90.32676000000015, -62.72088000000076]","[503.60104, -3522.61146, 45.99271999999996, -13.386599999999817]","[477.30459, -3505.35788, -105.18579999999997, 69.01432000000023]","[427.66631, -3474.60195, -198.55312000000004, 123.02371999999923]"
3,People,"[359.67239, -3468.20258, -271.97568, 25.59748000000036]","[297.88162, -3430.4927, -247.16308000000004, 150.83952000000136]","[308.70294, -3373.27431, 43.28528000000006, 228.87356]","[426.91588, -3305.36876, 472.85176, 271.6221999999998]","[515.40584, -3324.79542, 353.95984, -77.70664000000033]","[594.45456, -3352.25663, 316.19488, -109.84483999999975]","[691.66345, -3373.08401, 388.83556, -83.3095200000007]","[821.83117, -3385.55857, 520.6708800000001, -49.89824000000044]","[942.61722, -3313.77602, 483.1442000000002, 287.13020000000165]","[1059.8696, -3184.24771, 469.00952000000007, 518.1132399999988]","[1172.34248, -2955.43389, 449.8915200000001, 915.2552800000012]","[1173.99221, -2730.24569, 6.598919999999453, 900.7527999999984]","[1054.04413, -2543.23445, -479.79231999999956, 748.0449600000011]","[852.8043, -2339.49487, -804.9593199999999, 814.9583199999997]","[662.24874, -2121.94014, -762.22224, 870.2189199999993]","[470.22931, -1876.23823, -768.07772, 982.8076400000009]"
4,People,"[218.07161, -1686.89913, -1008.6307999999929, 757.3563999999943]","[-79.4347, -1548.64507, -1190.02524, 553.0162399999999]","[-367.7249, -1369.94635, -1153.1607999999999, 714.7948800000004]","[-584.70866, -1127.95912, -867.9350400000001, 967.9489199999998]","[-820.80365, -880.54365, -944.3799599999998, 989.6618800000001]","[-1118.30275, -688.58716, -1189.9964000000004, 767.8259599999997]","[-1409.24916, -497.62542, -1163.78564, 763.8469600000001]","[-1620.4985, -210.96892, -844.9973599999994, 1146.6260000000002]","[-1795.44477, 86.91533, -699.7850800000011, 1191.5370000000012]","[-2014.57881, 374.80324, -876.5361599999997, 1151.5516400000001]","[-2234.96228, 611.86825, -881.5338800000009, 948.2600399999999]","[-2453.40998, 899.62195, -873.7907999999989, 1151.0148]","[-2584.44297, 1211.31344, -524.1319600000006, 1246.7659599999997]","[-2705.90776, 1527.87334, -485.85916, 1266.2396000000008]","[-2897.92764, 1766.65725, -768.0795199999993, 955.1356399999995]","[-3119.23869, 2007.36925, -885.244200000001, 962.848]"
5,People,"[-3280.05423, 2297.01623, -643.2621600000002, 1158.5879200000008]","[-3363.76773, 2554.79715, -334.85399999999936, 1031.1236799999988]","[-3443.60974, 2868.69234, -319.3680399999994, 1255.5807600000007]","[-3533.45847, 3081.27491, -359.39492000000064, 850.3302800000001]","[-3591.1706, 3235.66972, -230.84851999999955, 617.5792399999991]","[-3620.99566740458, 3303.3098439694654, -119.30026961832118, 270.5604958778622]","[-3622.4973859160314, 3302.605053893129, -6.0068740458045795, -2.8191603053455765]","[-3623.999104427481, 3301.900263816793, -6.0068740457991225, -2.8191603053437575]","[-3625.5008229389314, 3301.195473740458, -6.006874045800947, -2.819160305340122]","[-3627.0025414503816, 3300.490683664122, -6.0068740458009415, -2.8191603053437575]","[-3628.504259961832, 3299.785893587786, -6.0068740458009415, -2.8191603053437575]","[-3630.0059784732825, 3299.0811035114502, -6.0068740458027605, -2.8191603053437575]","[-3631.507696984733, 3298.3763134351143, -6.0068740458009415, -2.8191603053437575]","[-3633.009415496184, 3297.6715233587784, -6.0068740458045795, -2.8191603053437575]","[-3634.5111340076337, 3296.9667332824424, -6.0068740457991225, -2.8191603053437575]","[-3636.012852519084, 3296.261943206107, -6.0068740458009415, -2.8191603053419385]"
6,People,"[-3645.72075, 3118.86834, -38.83158992366407, -709.5744128244278]","[-3674.22439, 2962.48166, -114.01455999999962, -625.5467200000003]","[-3660.21379, 2821.12301, 56.04240000000027, -565.4346000000005]","[-3625.80595, 2724.04228, 137.6313599999994, -388.3229199999987]","[-3550.94061, 2680.49466, 299.46135999999933, -174.19048000000112]","[-3256.96254, 2750.37128, 1175.9122800000005, 279.50648]","[-3087.01045, 2938.49475, 679.8083599999991, 752.49388]","[-3004.83422, 3015.60189, 328.70492000000013, 308.4285600000003]","[-2885.92575, 2962.88726, 475.6338800000016, -210.85851999999997]","[-2699.37347, 2794.14402, 746.2091199999995, -674.9729599999991]","[-2475.87651, 2580.21981, 893.9878399999998, -855.6968400000005]","[-2260.93705, 2450.02869, 859.7578400000002, -520.7644799999998]","[-1987.56077, 2384.94915, 1093.5051199999998, -260.3181600000007]","[-1659.25044, 2315.39698, 1313.24132, -278.20867999999973]","[-1362.51202, 2191.04906, 1186.9536800000005, -497.39168000000063]","[-1056.08983, 2051.80249, 1225.68876, -556.9862799999992]"
7,People,"[-741.49948, 1984.63833, 1258.3613999999998, -268.65664000000015]","[-394.31215, 1915.2491, 1388.74932, -277.55692]","[-65.20343, 1792.03453, 1316.4348799999998, -492.8582800000004]","[237.50932, 1642.50484, 1210.851, -598.1187599999994]","[559.28682, 1513.04642, 1287.1100000000001, -517.8336800000006]","[892.90912, 1431.73422, 1334.4892, -325.2487999999994]","[1254.63038, 1318.11954, 1446.8850400000001, -454.45872000000054]","[1559.27361, 1124.82786, 1218.5729199999996, -773.1667199999993]","[1847.59295, 898.90511, 1153.2773600000012, -903.691000000001]","[2147.9603, 738.22833, 1201.4694000000009, -642.70712]","[2459.78541, 594.886, 1247.300439999999, -573.3693200000002]","[2741.51799, 378.84696, 1126.9303199999995, -864.1561599999998]","[2997.41219, 127.28336, 1023.5768000000007, -1006.2544]","[3270.08674, -124.17386, 1090.6982000000007, -1005.82888]","[3563.10707, -305.30256, 1172.0813199999993, -724.5148000000002]","[3874.72749, -511.54592, 1246.4816800000008, -824.97344]"
8,People,"[4119.18523, -752.55316, 977.8309600000132, -964.0289600000139]","[4371.15605, -984.86789, 1007.8832799999982, -929.2589199999998]","[4667.55667, -1149.51593, 1185.6024800000014, -658.5921600000001]","[4991.81541, -1275.76991, 1297.0349600000009, -505.0159199999998]","[5304.17795, -1450.65662, 1249.4501600000003, -699.54684]","[5557.3909, -1651.85673, 1012.8518000000004, -804.80044]","[5907.60652, -1879.27874, 1400.8624799999998, -909.68804]","[6152.74494, -1980.76938, 980.5536799999973, -405.96255999999994]","[6277.75405, -2015.67737, 500.0364400000003, -139.63196000000073]","[6328.01948, -2052.6426, 201.06172000000151, -147.86092000000008]","[6329.88515, -2096.54567, 7.462680000000546, -175.61227999999937]","[6321.24298, -2124.0232, -34.56868000000031, -109.91012000000046]","[6317.38518, -2139.76301, -15.43119999999908, -62.959240000000136]","[6310.214424782608, -2159.8356404347824, -28.68302086956828, -80.29052173912896]","[6302.376656666666, -2179.25876, -31.351072463767196, -77.69247826087121]","[6294.538888550725, -2198.681879565217, -31.351072463767196, -77.69247826086757]"
9,People,"[6286.701120434783, -2218.1049991304344, -31.351072463767196, -77.6924782608694]","[6278.86335231884, -2237.528118695652, -31.351072463770834, -77.69247826087121]","[6271.025584202898, -2256.9512382608696, -31.351072463767196, -77.6924782608694]","[6263.187816086956, -2276.374357826087, -31.351072463767196, -77.6924782608694]","[6255.350047971015, -2295.7974773913043, -31.351072463767196, -77.6924782608694]","[6186.15361, -2313.5547, -276.7857518840574, -71.02889043478353]","[6002.93769, -2262.03756, -732.8636800000022, 206.0685599999997]","[5705.93747, -2116.16836, -1188.0008799999996, 583.4768000000004]","[5465.12709, -1954.75859, -963.2415200000005, 645.6390800000014]","[5278.62133, -1879.52881, -746.02304, 300.91911999999957]","[5056.68068, -1880.63683, -887.7625999999982, -4.432079999999587]","[4878.69061, -1913.01027, -711.960280000003, -129.4937600000003]","[4688.9052, -1970.02586, -759.141639999998, -228.0623599999999]","[4437.88468, -2075.36383, -1004.0820800000001, -421.35187999999926]","[4165.33144, -2098.00194, -1090.2129600000007, -90.5524400000013]","[3882.24709, -2051.82619, -1132.3374000000003, 184.70299999999952]"
