,Type,Point_1,Point_2,Point_3,Point_4,Point_5,Point_6,Point_7,Point_8,Point_9,Point_10,Point_11,Point_12,Point_13,Point_14,Point_15,Point_16
0,People,"[676.0706799999999, 3141.61787, 0, 0]","[661.54214, 3153.3902199999998, -58.11415999999963, 47.08939999999893]","[525.0771, 3230.55328, -545.8601600000002, 308.65224000000126]","[344.39844, 3280.1847399999997, -722.7146399999999, 198.52583999999842]","[163.65138000000002, 3315.7, -722.9882399999999, 142.0610400000005]","[55.64991, 3391.28424, -432.00588000000005, 302.33696000000054]","[30.643009999999997, 3428.4069799999997, -100.0276, 148.49095999999918]","[31.2178, 3457.16018, 2.2991600000000147, 115.01280000000042]","[38.80467, 3468.16806, 30.347480000000033, 44.0315200000005]","[35.07043, 3482.0364799999998, -14.93696, 55.47367999999915]","[25.2091, 3477.5151299999998, -39.44532000000001, -18.085399999999936]","[22.9512, 3462.91575, -9.031599999999997, -58.39751999999862]","[45.39597, 3377.17367, 89.77908, -342.96831999999995]","[151.21595, 3245.29809, 423.27991999999995, -527.5023200000014]","[382.65412000000003, 3117.08063, 925.7526800000002, -512.8698399999994]","[674.96341, 3007.4790399999997, 1169.2371599999997, -438.40636000000086]"
1,People,"[826.48271, 2943.53408, 0, 0]","[909.4240199999999, 2859.2299, 331.7652399999997, -337.21672000000035]","[982.1008300000001, 2680.50459, 290.70724000000064, -714.9012399999992]","[1071.14788, 2407.23297, 356.1881999999996, -1093.08648]","[1186.11561, 2118.02985, 459.8709200000003, -1156.8124800000005]","[1328.7728, 1760.28598, 570.6287599999996, -1430.9754799999992]","[1359.41095, 1371.10246, 122.55259999999998, -1556.7340800000002]","[1347.9364699999999, 981.9626, -45.89792000000034, -1556.5594400000004]","[1390.96791, 614.21275, 172.12576000000095, -1470.999400000001]","[1431.50295, 204.16586, 162.14015999999992, -1640.18756]","[1365.58994, -212.71808, -263.65203999999994, -1667.53576]","[1252.53161, -570.35863, -452.2333200000003, -1430.5621999999998]","[1159.3108300000001, -938.3635, -372.8831199999995, -1472.0194800000004]","[1129.7428400000001, -1290.23392, -118.27196000000004, -1407.4816799999994]","[1059.59745, -1637.60882, -280.58156000000054, -1389.4996]","[967.1697199999999, -1901.6916600000002, -369.71092000000044, -1056.331360000001]"
2,People,"[851.1013300000001, -2168.26685, 0, 0]","[827.94498, -2439.82755, -92.62540000000035, -1086.2428]","[822.6313700000001, -2742.96693, -21.254439999999704, -1212.5575200000003]","[792.7552099999999, -2986.55655, -119.50464000000056, -974.358479999999]","[709.0917599999999, -3148.57829, -334.65380000000005, -648.0869600000005]","[553.84488, -3265.90643, -620.9875199999997, -469.3125600000003]","[443.22713, -3357.03709, -442.471, -364.5226399999992]","[400.33642000000003, -3414.1841299999996, -171.56283999999982, -228.58815999999933]","[415.48800000000006, -3464.09785, 60.60632000000015, -199.65488000000204]","[436.76229000000006, -3487.36658, 85.09716000000003, -93.07491999999911]","[453.02423, -3497.74825, 65.0477599999997, -41.52668000000085]","[469.52117000000004, -3503.58459, 65.98776000000021, -23.345359999999346]","[492.10285999999996, -3519.26481, 90.3267599999997, -62.72088000000076]","[503.60104, -3522.61146, 45.99272000000019, -13.386599999999817]","[477.30459, -3505.3578799999996, -105.18579999999997, 69.01432000000204]","[427.66630999999995, -3474.60195, -198.55312000000026, 123.02371999999741]"
3,People,"[359.67239, -3468.2025799999997, 0, 0]","[297.88162, -3430.4927, -247.16308000000004, 150.83951999999954]","[308.70294, -3373.2743100000002, 43.28528000000006, 228.87355999999818]","[426.91587999999996, -3305.3687600000003, 472.8517599999998, 271.6221999999998]","[515.40584, -3324.79542, 353.9598400000002, -77.70663999999852]","[594.45456, -3352.25663, 316.19488, -109.84483999999975]","[691.66345, -3373.08401, 388.83556, -83.3095200000007]","[821.83117, -3385.55857, 520.6708800000001, -49.89824000000044]","[942.61722, -3313.77602, 483.1442000000002, 287.13020000000165]","[1059.8696, -3184.24771, 469.00952000000007, 518.1132399999988]","[1172.34248, -2955.43389, 449.8915200000001, 915.2552800000012]","[1173.99221, -2730.2456899999997, 6.598919999999453, 900.7528000000002]","[1054.04413, -2543.23445, -479.79231999999956, 748.0449599999993]","[852.8043, -2339.49487, -804.9593199999999, 814.9583199999997]","[662.24874, -2121.9401399999997, -762.22224, 870.2189200000012]","[470.22930999999994, -1876.2382300000002, -768.0777200000002, 982.8076399999982]"
4,People,"[218.07161000000002, -1686.89913, 0, 0]","[-79.4347, -1548.64507, -1190.0252400000002, 553.0162399999999]","[-367.7249, -1369.94635, -1153.1607999999999, 714.7948800000004]","[-584.70866, -1127.95912, -867.9350400000001, 967.9489199999998]","[-820.80365, -880.54365, -944.3799599999998, 989.6618800000001]","[-1118.30275, -688.5871599999999, -1189.9964000000004, 767.8259600000001]","[-1409.24916, -497.62542, -1163.78564, 763.8469599999996]","[-1620.4985, -210.96892000000003, -844.9973599999994, 1146.626]","[-1795.4447699999998, 86.91533000000001, -699.7850800000002, 1191.5370000000014]","[-2014.5788100000002, 374.80324, -876.5361600000015, 1151.5516400000001]","[-2234.96228, 611.86825, -881.53388, 948.2600399999999]","[-2453.40998, 899.62195, -873.7907999999989, 1151.0148]","[-2584.44297, 1211.3134400000001, -524.1319600000006, 1246.7659600000006]","[-2705.90776, 1527.87334, -485.85916, 1266.2395999999999]","[-2897.92764, 1766.65725, -768.0795199999993, 955.1356399999995]","[-3119.2386899999997, 2007.36925, -885.2441999999992, 962.848]"
5,People,"[-3280.05423, 2297.01623, 0, 0]","[-3363.7677299999996, 2554.79715, -334.85399999999754, 1031.1236799999988]","[-3443.60974, 2868.69234, -319.3680400000012, 1255.5807600000007]","[-3533.4584700000005, 3081.27491, -359.39492000000246, 850.3302800000001]","[-3591.1706, 3235.66972, -230.84851999999773, 617.5792399999991]","[-3620.9956674045793, 3303.3098439694645, -119.30026961831754, 270.56049587785856]","[-3622.497385916031, 3302.6050538931295, -6.0068740458063985, -2.8191603053401195]","[-3623.999104427481, 3301.900263816793, -6.0068740458009415, -2.8191603053455765]","[-3625.5008229389314, 3301.1954737404576, -6.006874045800947, -2.819160305341941]","[-3627.0025414503816, 3300.4906836641217, -6.0068740458009415, -2.8191603053437575]","[-3628.5042599618323, 3299.785893587786, -6.0068740458027605, -2.8191603053419385]","[-3630.0059784732825, 3299.0811035114502, -6.0068740458009415, -2.8191603053437575]","[-3631.5076969847332, 3298.3763134351148, -6.0068740458027605, -2.8191603053419385]","[-3633.009415496184, 3297.671523358779, -6.0068740458027605, -2.8191603053437575]","[-3634.5111340076337, 3296.9667332824424, -6.0068740457991225, -2.8191603053455765]","[-3636.012852519084, 3296.2619432061074, -6.0068740458009415, -2.8191603053401195]"
6,People,"[-3645.72075, 3118.86834, 0, 0]","[-3674.22439, 2962.4816600000004, -114.01455999999962, -625.5467199999985]","[-3660.21379, 2821.1230100000002, 56.04240000000027, -565.4346000000005]","[-3625.80595, 2724.04228, 137.6313599999994, -388.3229200000005]","[-3550.94061, 2680.4946600000003, 299.46135999999933, -174.1904799999993]","[-3256.96254, 2750.3712800000003, 1175.9122800000005, 279.50648]","[-3087.01045, 2938.49475, 679.8083599999991, 752.4938799999982]","[-3004.8342199999997, 3015.60189, 328.70492000000195, 308.4285600000003]","[-2885.92575, 2962.88726, 475.6338799999998, -210.85851999999997]","[-2699.37347, 2794.1440199999997, 746.2091199999995, -674.972960000001]","[-2475.87651, 2580.21981, 893.9878399999998, -855.6968399999987]","[-2260.93705, 2450.0286899999996, 859.7578400000002, -520.7644800000016]","[-1987.5607699999998, 2384.94915, 1093.5051200000007, -260.3181599999989]","[-1659.25044, 2315.39698, 1313.2413199999992, -278.20867999999973]","[-1362.51202, 2191.0490600000003, 1186.9536800000005, -497.3916799999988]","[-1056.0898300000001, 2051.80249, 1225.688759999999, -556.986280000001]"
7,People,"[-741.49948, 1984.63833, 0, 0]","[-394.31215, 1915.2491, 1388.74932, -277.55692]","[-65.20343000000001, 1792.0345300000001, 1316.4348799999998, -492.85827999999947]","[237.50932000000003, 1642.50484, 1210.851, -598.1187600000003]","[559.28682, 1513.04642, 1287.1100000000001, -517.8336800000006]","[892.9091199999999, 1431.7342199999998, 1334.4891999999995, -325.2488000000003]","[1254.63038, 1318.1195400000001, 1446.8850400000006, -454.4587199999987]","[1559.27361, 1124.8278599999999, 1218.5729199999996, -773.1667200000011]","[1847.59295, 898.9051099999999, 1153.2773600000012, -903.6910000000006]","[2147.9603, 738.22833, 1201.4694000000009, -642.7071199999996]","[2459.78541, 594.886, 1247.300439999999, -573.3693200000002]","[2741.51799, 378.84696, 1126.9303199999995, -864.1561599999998]","[2997.41219, 127.28336000000002, 1023.5768000000007, -1006.2544]","[3270.0867399999997, -124.17386, 1090.698199999999, -1005.82888]","[3563.1070700000005, -305.30256, 1172.081320000003, -724.5148000000002]","[3874.7274899999998, -511.54592, 1246.4816799999971, -824.97344]"
8,People,"[4119.18523, -752.5531599999999, 0, 0]","[4371.15605, -984.86789, 1007.8832799999982, -929.2589200000002]","[4667.55667, -1149.51593, 1185.6024800000014, -658.5921600000001]","[4991.81541, -1275.76991, 1297.0349600000009, -505.0159199999998]","[5304.17795, -1450.65662, 1249.4501600000003, -699.54684]","[5557.3909, -1651.85673, 1012.8518000000004, -804.80044]","[5907.60652, -1879.2787399999997, 1400.8624799999998, -909.6880399999991]","[6152.74494, -1980.7693800000002, 980.5536799999973, -405.96256000000176]","[6277.75405, -2015.6773699999999, 500.0364400000003, -139.6319599999989]","[6328.01948, -2052.6426, 201.06172000000151, -147.860920000001]","[6329.88515, -2096.54567, 7.462680000000546, -175.61227999999937]","[6321.24298, -2124.0232, -34.56868000000031, -109.91012000000046]","[6317.385179999999, -2139.76301, -15.431200000002718, -62.959240000000136]","[6310.214424782607, -2159.8356404347824, -28.68302086956828, -80.29052173912896]","[6302.376656666666, -2179.25876, -31.351072463763558, -77.69247826087121]","[6294.5388885507255, -2198.681879565217, -31.351072463763558, -77.69247826086757]"
9,People,"[6286.701120434783, -2218.1049991304344, 0, 0]","[6278.86335231884, -2237.5281186956518, -31.351072463770834, -77.6924782608694]","[6271.025584202898, -2256.9512382608696, -31.351072463767196, -77.69247826087121]","[6263.1878160869555, -2276.374357826087, -31.351072463770834, -77.6924782608694]","[6255.350047971015, -2295.7974773913047, -31.351072463763558, -77.69247826087121]","[6186.15361, -2313.5547, -276.7857518840574, -71.02889043478172]","[6002.93769, -2262.03756, -732.8636800000022, 206.0685599999997]","[5705.93747, -2116.16836, -1188.0008799999996, 583.4768000000004]","[5465.12709, -1954.75859, -963.2415200000005, 645.6390800000014]","[5278.62133, -1879.5288100000002, -746.02304, 300.91911999999866]","[5056.6806799999995, -1880.6368300000001, -887.7626000000018, -4.432079999999587]","[4878.690610000001, -1913.01027, -711.9602799999957, -129.49375999999938]","[4688.9052, -1970.0258600000002, -759.1416400000016, -228.0623600000008]","[4437.88468, -2075.3638300000002, -1004.0820800000001, -421.35188000000016]","[4165.33144, -2098.0019399999996, -1090.2129600000007, -90.55243999999766]","[3882.24709, -2051.8261899999998, -1132.3374000000003, 184.70299999999952]"
