,Type,Point_1,Point_2,Point_3,Point_4,Point_5,Point_6,Point_7,Point_8,Point_9,Point_10,Point_11,Point_12,Point_13,Point_14,Point_15,Point_16
0,People,"[502.14813, 3243.08871, 0, 0]","[542.7586200000001, 3214.03804, 162.44196000000034, -116.20268000000033]","[528.1096, 3176.83564, -58.596080000000256, -148.8096000000005]","[513.3000099999999, 3181.2444100000002, -59.238360000000284, 17.635080000001835]","[496.96360999999996, 3192.61759, -65.34559999999988, 45.49271999999837]","[493.81555, 3197.86981, -12.592239999999947, 21.008880000001227]","[499.91829, 3204.4566, 24.41096000000016, 26.34715999999935]","[507.03047000000004, 3214.11353, 28.448720000000094, 38.62772000000041]","[518.5867099999999, 3221.38658, 46.2249599999996, 29.092199999999163]","[524.80756, 3224.05938, 24.883400000000165, 10.691200000001118]","[529.59262, 3230.05231, 19.140240000000176, 23.97171999999955]","[525.66135, 3229.28942, -15.725080000000162, -3.0515599999998813]","[522.1655, 3229.02538, -13.983400000000074, -1.0561600000000908]","[528.5223900000001, 3222.44832, 25.42756000000054, -26.308240000000296]","[536.28458, 3211.98828, 31.048759999999675, -41.84015999999974]","[543.54822, 3202.2626, 29.054560000000038, -38.902720000000045]"
1,People,"[541.59927, 3199.47604, 0, 0]","[539.92097, 3195.9147199999998, -6.713200000000143, -14.245280000001003]","[532.7126400000001, 3191.10003, -28.83331999999973, -19.2587599999988]","[522.33689, 3190.28599, -41.503000000000156, -3.2561600000008184]","[517.4891299999999, 3194.60164, -19.39104000000043, 17.26260000000002]","[518.1972599999999, 3192.14704, 2.8325199999999313, -9.81840000000011]","[511.73447999999996, 3187.3544, -25.85111999999981, -19.17055999999866]","[493.47650999999996, 3181.78002, -73.03188, -22.297520000000077]","[454.50600999999995, 3128.9263899999996, -155.8820000000002, -211.41452000000228]","[308.92336, 2894.35182, -582.3305999999998, -938.2982799999991]","[125.38563, 2851.70723, -734.15092, -170.57835999999952]","[-96.45016, 2844.7808800000003, -887.34316, -27.705399999998917]","[-419.19743, 2827.27533, -1290.98908, -70.02220000000125]","[-709.41949, 2702.3613600000003, -1160.88824, -499.65587999999843]","[-995.56245, 2526.33057, -1144.57184, -704.123160000001]","[-1344.15778, 2463.7020199999997, -1394.38132, -250.51420000000144]"
2,People,"[-1726.11398, 2415.1803600000003, 0, 0]","[-2056.83824, 2282.91116, -1322.8970399999998, -529.0768000000007]","[-2326.98539, 2066.19575, -1080.5885999999991, -866.861640000001]","[-2612.92972, 1839.7559600000002, -1143.777320000001, -905.7591599999987]","[-2930.77173, 1683.6504300000001, -1271.3680399999994, -624.4221200000002]","[-3271.37442, 1527.89087, -1362.4107600000007, -623.0382400000008]","[-3549.42205, 1300.85605, -1112.19052, -908.1392799999994]","[-3815.59473, 1080.66706, -1064.6907199999987, -880.7559600000004]","[-4075.03649, 966.95246, -1037.7670400000015, -454.8584000000005]","[-4356.5295, 758.16224, -1125.9720399999987, -835.1608799999999]","[-4594.39334, 444.01478, -951.4553599999999, -1256.58984]","[-4737.55637, 106.50045, -572.6521200000025, -1350.05732]","[-4878.44296, -232.17098, -563.5463600000003, -1354.68572]","[-5064.82875, -414.38209, -745.5431599999974, -728.8444400000001]","[-5332.4411, -647.32538, -1070.4494000000013, -931.77316]","[-5515.86079, -892.78274, -733.6787599999989, -981.82944]"
3,People,"[-5690.1931, -1193.93885, 0, 0]","[-5953.5195, -1381.99201, -1053.3055999999997, -752.2126399999997]","[-6284.0067899999995, -1493.8225300000001, -1321.9491599999965, -447.3220800000008]","[-6562.74614, -1635.67292, -1114.957400000003, -567.4015599999993]","[-6832.78132, -1828.23319, -1080.1407199999994, -770.2410799999998]","[-7083.44592, -1995.93265, -1002.6584000000003, -670.7978400000002]","[-7345.58344, -2004.0457800000001, -1048.550080000001, -32.45252000000073]","[-7628.18883, -1978.12506, -1130.4215599999989, 103.6828800000003]","[-7924.112040000001, -2035.6298600000002, -1183.6928400000045, -230.01920000000084]","[-8225.60697, -2080.95075, -1205.9797199999994, -181.28355999999894]","[-8406.91292, -2039.6857, -725.2237999999998, 165.0601999999999]","[-8463.29454, -2025.79485, -225.52648000000045, 55.5634]","[-8420.77807, -2031.78095, 170.06588000000193, -23.944400000000314]","[-8309.02953, -2065.78288, 446.994160000002, -136.00772000000052]","[-8146.642, -2107.40525, 649.5501199999999, -166.48947999999837]","[-8061.462504231311, -2126.6715580112837, 340.71798307475547, -77.06523204513542]"
4,People,"[-8005.027843441468, -2145.16901358251, 0, 0]","[-7948.593182651623, -2163.666469153738, 225.73864315938044, -73.9898222849115]","[-7892.1585218617765, -2182.163924724965, 225.73864315938408, -73.98982228490786]","[-7835.723861071932, -2200.661380296192, 225.7386431593768, -73.98982228490786]","[-7779.289200282087, -2219.158835867419, 225.73864315938044, -73.98982228490786]","[-7722.854539492242, -2237.656291438646, 225.73864315938044, -73.98982228490786]","[-7666.419878702398, -2256.153747009873, 225.7386431593768, -73.98982228490786]","[-7609.985217912553, -2274.6512025811003, 225.73864315938044, -73.98982228490968]","[-7553.550557122708, -2293.148658152327, 225.73864315938064, -73.98982228490611]","[-7497.115896332863, -2311.646113723554, 225.73864315938044, -73.98982228490968]","[-7440.6812355430175, -2330.1435692947816, 225.73864315938044, -73.98982228490968]","[-7384.246574753172, -2348.641024866009, 225.73864315938044, -73.98982228490968]","[-7327.811913963327, -2367.138480437236, 225.73864315938044, -73.98982228490786]","[-7271.377253173483, -2385.6359360084625, 225.7386431593768, -73.98982228490604]","[-7214.942592383639, -2404.13339157969, 225.7386431593768, -73.98982228490968]","[-7158.507931593794, -2422.630847150917, 225.73864315938044, -73.98982228490786]"
5,People,"[-7102.073270803949, -2441.128302722144, 0, 0]","[-7045.638610014104, -2459.625758293371, 225.7386431593768, -73.98982228490786]","[-6989.203949224259, -2478.1232138645983, 225.73864315938044, -73.98982228490968]","[-6932.769288434414, -2496.6206694358248, 225.73864315938044, -73.98982228490604]","[-6876.33462764457, -2515.118125007052, 225.7386431593768, -73.98982228490968]","[-6819.899966854726, -2533.615580578279, 225.7386431593768, -73.98982228490786]","[-6763.465306064879, -2552.113036149506, 225.73864315938772, -73.98982228490786]","[-6707.030645275036, -2570.610491720733, 225.73864315937317, -73.98982228490786]","[-6650.5959844851905, -2589.1079472919605, 225.73864315938064, -73.98982228490975]","[-6594.161323695345, -2607.6054028631875, 225.73864315938044, -73.98982228490786]","[-6537.7266629055, -2626.1028584344144, 225.73864315938044, -73.98982228490786]","[-6543.74452, -2650.73629, -24.071428377999837, -98.53372626234159]","[-6597.61863, -2759.92078, -215.49643999999898, -436.7379600000004]","[-6543.74517, -2773.42763, 215.49383999999918, -54.02740000000085]","[-6381.76996142857, -2718.924587857143, 647.9008342857196, 218.01216857142936]","[-6191.63228047619, -2657.166800952381, 760.5507238095197, 247.03114761904726]"
6,People,"[-6001.4945995238095, -2595.409014047619, 0, 0]","[-5811.35691857143, -2533.651227142857, 760.5507238095197, 247.03114761904908]","[-5621.219237619047, -2471.8934402380955, 760.5507238095306, 247.03114761904544]","[-5431.081556666666, -2410.1356533333333, 760.5507238095233, 247.03114761904908]","[-5240.943875714285, -2348.3778664285715, 760.5507238095233, 247.03114761904726]","[-5050.806194761904, -2286.6200795238096, 760.5507238095233, 247.03114761904726]","[-4856.39044, -2224.52769, 777.6630190476171, 248.36955809523897]","[-4626.12936, -2175.79916, 921.0443200000009, 194.91411999999946]","[-4425.21304, -2088.11326, 803.6652800000018, 350.7436000000001]","[-4242.3612, -1999.0577600000001, 731.4073599999974, 356.22199999999975]","[-4053.15491, -1828.9583899999998, 756.8251600000003, 680.3974800000015]","[-3878.7332899999997, -1734.8738, 697.6864800000021, 376.33835999999883]","[-3700.71404, -1693.0716699999998, 712.0769999999993, 167.20852000000104]","[-3532.62803, -1666.36179, 672.34404, 106.83951999999954]","[-3282.6565, -1624.983, 999.8861199999992, 165.51515999999992]","[-3010.56087, -1529.75742, 1088.382520000001, 380.90232000000015]"
7,People,"[-2735.2172, -1394.62371, 0, 0]","[-2372.50983, -1340.28682, 1450.8294800000003, 217.34756000000016]","[-2018.52064, -1276.7505199999998, 1415.95676, 254.14520000000084]","[-1849.5128, -1146.66912, 676.03136, 520.3255999999992]","[-1642.8967699999998, -981.8000599999999, 826.4641200000005, 659.4762400000004]","[-1412.31215, -820.04476, 922.3384799999994, 647.0211999999997]","[-1148.83924, -742.1360000000001, 1053.8916399999998, 311.63503999999966]","[-852.4269199999999, -688.7719900000001, 1185.6492800000005, 213.45604000000003]","[-582.62373, -556.31047, 1079.2127600000003, 529.8460800000007]","[-295.10215, -368.76388, 1150.0863200000001, 750.1863600000001]","[9.885760000000001, -209.58751, 1219.95164, 636.7054799999999]","[303.1399, -163.01045, 1173.01656, 186.30824000000007]","[606.18967, -167.90558000000001, 1212.1990799999999, -19.580520000000092]","[855.10688, -49.78794, 995.6688400000003, 472.4705600000001]","[1084.92839, 129.31611999999998, 919.28604, 716.4162399999999]","[1297.63409, 228.5675, 850.8227999999999, 397.00552000000005]"
8,People,"[1557.27635, 242.23346, 0, 0]","[1841.5452100000002, 271.01562, 1137.0754400000005, 115.12864000000002]","[2141.94667, 380.31471, 1201.6058399999984, 437.1963599999999]","[2482.98677, 490.86341, 1364.1604000000007, 442.1948]","[2761.27027, 550.42873, 1113.134, 238.26127999999994]","[2996.8867600000003, 515.8495, 942.4659600000014, -138.31691999999975]","[3271.1589, 442.43703, 1097.0885599999983, -293.64988000000017]","[3487.54775, 446.84322000000003, 865.5554000000011, 17.62476000000015]","[3699.99385, 509.43063, 849.7843999999994, 250.34964000000014]","[3939.52846, 579.98971, 958.1384400000006, 282.23631999999975]","[4187.99664, 597.58795, 993.8727200000012, 70.39296000000013]","[4484.4079, 646.13545, 1185.6450399999994, 194.19000000000005]","[4739.18851, 804.12264, 1019.1224399999992, 631.9487600000002]","[4981.66799, 1032.66693, 969.9179199999999, 914.1771600000002]","[5251.27214, 1216.46469, 1078.4166000000005, 735.1910399999997]","[5537.35221, 1308.87876, 1144.32028, 369.65628000000015]"
9,People,"[5819.7202, 1391.28055, 0, 0]","[6050.968379999999, 1515.6631300000001, 924.9927199999984, 497.53032000000076]","[6313.92225, 1672.51734, 1051.8154800000011, 627.4168399999999]","[6560.40079, 1759.6830300000001, 985.9141600000003, 348.66276000000016]","[6795.982790000001, 1785.2568399999998, 942.328000000005, 102.29523999999856]","[7006.233772660334, 1795.350896128266, 841.003930641331, 40.3762245130647]","[6989.9694142874105, 1808.353184429929, -65.05743349169279, 52.00915320665172]","[6973.70505591449, 1821.3554727315916, -65.05743349168188, 52.00915320665081]","[6957.440697541569, 1834.357761033254, -65.05743349168557, 52.00915320664995]","[6941.176339168646, 1847.3600493349168, -65.05743349168915, 52.00915320665081]","[6924.911980795725, 1860.3623376365797, -65.05743349168552, 52.00915320665172]","[6908.647622422804, 1873.3646259382424, -65.05743349168552, 52.00915320665081]","[6892.383264049881, 1886.366914239905, -65.05743349168915, 52.00915320665081]","[6876.118905676961, 1899.369202541568, -65.05743349168188, 52.00915320665172]","[6859.854547304039, 1912.3714908432305, -65.05743349168552, 52.0091532066499]","[6843.590188931117, 1925.373779144893, -65.05743349168915, 52.0091532066499]"
10,People,"[6827.325830558195, 1938.3760674465561, 0, 0]","[6811.0614721852735, 1951.3783557482184, -65.05743349168552, 52.00915320664899]","[6794.797113812352, 1964.3806440498813, -65.05743349168552, 52.00915320665172]","[6778.53275543943, 1977.3829323515438, -65.05743349168915, 52.0091532066499]","[6762.2683970665075, 1990.3852206532067, -65.05743349168915, 52.00915320665172]","[6746.004038693586, 2003.3875089548694, -65.05743349168552, 52.00915320665081]","[6729.739680320667, 2016.389797256532, -65.05743349167824, 52.0091532066499]","[6713.4753219477425, 2029.3920855581948, -65.05743349169643, 52.00915320665172]","[6697.210963574822, 2042.394373859857, -65.05743349168193, 52.00915320664904]","[6680.946605201901, 2055.39666216152, -65.05743349168552, 52.00915320665172]","[6664.682246828979, 2068.3989504631827, -65.05743349168552, 52.00915320665081]","[6648.417888456057, 2081.4012387648454, -65.05743349168915, 52.00915320665081]","[6632.153530083136, 2094.4035270665076, -65.05743349168552, 52.00915320664899]","[6615.889171710213, 2107.4058153681713, -65.05743349168915, 52.009153206654446]","[6599.624813337293, 2120.408103669834, -65.05743349168188, 52.00915320665081]","[6583.3604549643715, 2133.4103919714967, -65.05743349168552, 52.00915320665081]"
11,People,"[6567.096096591449, 2146.4126802731594, 0, 0]","[6550.831738218528, 2159.414968574822, -65.05743349168552, 52.00915320665081]","[6534.5673798456055, 2172.4172568764848, -65.05743349168915, 52.00915320665081]","[6518.303021472684, 2185.4195451781475, -65.05743349168552, 52.00915320665081]","[6502.038663099763, 2198.42183347981, -65.05743349168552, 52.00915320665081]","[6485.7743047268405, 2211.424121781473, -65.05743349168915, 52.00915320665081]","[6469.509946353918, 2224.426410083136, -65.05743349168915, 52.00915320665263]","[6453.245587980999, 2237.4286983847987, -65.05743349167824, 52.00915320665081]","[6436.981229608076, 2250.430986686461, -65.05743349168921, 52.00915320664904]","[6420.716871235155, 2263.433274988124, -65.05743349168552, 52.00915320665263]","[6404.452512862234, 2276.4355632897864, -65.05743349168552, 52.00915320664899]","[6388.188154489311, 2289.437851591449, -65.05743349168915, 52.00915320665081]","[6371.923796116391, 2302.440139893112, -65.05743349168188, 52.00915320665081]","[6355.659437743469, 2315.4424281947745, -65.05743349168552, 52.00915320665081]","[6339.395079370545, 2328.444716496437, -65.05743349169643, 52.00915320665081]","[6323.130720997625, 2341.4470047981, -65.05743349168188, 52.00915320665081]"
12,People,"[6306.866362624704, 2354.4492930997626, 0, 0]","[6290.602004251782, 2367.451581401425, -65.05743349168915, 52.00915320664899]","[6274.337645878861, 2380.453869703088, -65.05743349168552, 52.00915320665263]","[6258.0732875059375, 2393.456158004751, -65.05743349169279, 52.00915320665263]","[6241.808929133018, 2406.458446306413, -65.05743349167824, 52.00915320664717]","[6225.544570760097, 2419.4607346080757, -65.05743349168552, 52.00915320665081]","[6209.2802123871725, 2432.4630229097393, -65.05743349169643, 52.009153206654446]","[6193.015854014252, 2445.465311211401, -65.05743349168188, 52.00915320664717]","[6176.751495641331, 2458.4675995130638, -65.05743349168557, 52.00915320665086]","[6160.487137268409, 2471.469887814727, -65.05743349168552, 52.00915320665263]","[6144.222778895487, 2484.4721761163896, -65.05743349168915, 52.00915320665081]","[6127.958420522566, 2497.4744644180523, -65.05743349168552, 52.00915320665081]","[6111.694062149643, 2510.476752719715, -65.05743349168915, 52.00915320665081]","[6095.429703776723, 2523.4790410213777, -65.05743349168188, 52.00915320665081]","[6079.165345403801, 2536.4813293230404, -65.05743349168552, 52.00915320665081]","[6062.900987030879, 2549.483617624703, -65.05743349168915, 52.00915320665081]"
13,People,"[6046.636628657958, 2562.485905926366, 0, 0]","[6030.3722702850355, 2575.4881942280285, -65.05743349168915, 52.00915320665081]","[6014.107911912114, 2588.490482529691, -65.05743349168552, 52.00915320664899]","[5997.843553539193, 2601.492770831354, -65.05743349168552, 52.00915320665263]","[5981.57919516627, 2614.495059133017, -65.05743349168915, 52.00915320665263]","[5965.31483679335, 2627.4973474346793, -65.05743349168188, 52.00915320664899]","[5949.050478420429, 2640.499635736342, -65.05743349168552, 52.00915320665081]","[5932.786120047506, 2653.501924038005, -65.05743349168915, 52.00915320665263]","[5916.521761674585, 2666.5042123396674, -65.05743349168557, 52.00915320664904]","[5750.349429999999, 2542.8577, -664.6893266983425, -494.5860493586697]","[5448.38716, 2420.43508, -1207.8490799999963, -489.6904799999993]","[5109.078570000001, 2387.54203, -1357.2343599999986, -131.57220000000052]","[4773.40585, 2429.55984, -1342.690880000002, 168.0712399999993]","[4474.63355, 2386.79634, -1195.0892000000022, -171.0540000000001]","[4219.30127, 2294.63577, -1021.3291199999985, -368.64228]","[3998.2742299999995, 2273.3578899999998, -884.1081600000016, -85.11152000000038]"
14,People,"[3759.93541, 2337.18312, 0, 0]","[3450.4653299999995, 2405.84596, -1237.880320000002, 274.65135999999984]","[3214.53509, 2412.27973, -943.7209599999987, 25.73508000000038]","[2930.05126, 2366.13418, -1137.9353199999987, -184.58220000000074]","[2627.0588, 2326.30108, -1211.9698400000016, -159.33239999999932]","[2331.88715, 2320.01177, -1180.686599999999, -25.157240000000456]","[2045.9008399999998, 2372.7349, -1143.945240000001, 210.89251999999942]","[1849.68913, 2408.36607, -784.8468399999992, 142.52468000000044]","[1740.06074, 2452.95214, -438.5135600000007, 178.34427999999951]","[1558.48268, 2468.68304, -726.3122399999993, 62.92360000000008]","[1333.06906, 2529.1471100000003, -901.6544800000001, 241.8562800000018]","[1052.50603, 2632.64625, -1122.25212, 413.99655999999777]","[798.02989, 2676.72439, -1017.90456, 176.3125600000003]","[522.9583200000001, 2679.0146, -1100.2862799999998, 9.160840000000462]","[240.72085, 2678.9842, -1128.9498800000001, -0.12160000000039872]","[-42.72631, 2756.9537800000003, -1133.78864, 311.8783200000016]"
